Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color_original,color_updated,barcodes
6,22,Mai,5567,PlantNW-SoilNW-FungNW,NW,NW,NW,3,white,blue,5567_Mai_blue
6,11,Mai,5569,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,5569_Mai_purple
6,25,Mai,5579,PlantW-SoilNW-FungNW,W,NW,NW,3,yellow,yellow,5579_Mai_yellow
6,8,Mai,5596,PlantW-SoilW-FungW,W,W,W,2,red,red,5596_Mai_red
6,32,Mai,5600,PlantW-SoilW-FungW,W,W,W,3,red,red,5600_Mai_red
6,9,Mai,5607,PlantW-SoilW-FungWsterile,W,W,Wsterile,1,red_blue,red_blue,5607_Mai_red_blue
6,5,Tri,5619,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,5619_Tri_white
6,6,Tri,5626,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,5626_Tri_green
6,4,Tri,5641,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,5641_Tri_purple
5,23,Mai,5657,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,5657_Mai_white
6,9,Mai,5664,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,5664_Mai_yellow
6,8,Tri,5714,PlantW-SoilW-FungNWsterile,W,W,NWsterile,1,orange_blue,orange_blue,5714_Tri_orange_blue
6,6,Tri,5722,PlantNW-SoilW-FungWsterile,NW,W,Wsterile,1,purple_blue,purple_blue,5722_Tri_purple_blue
6,3,Tri,5742,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,5742_Tri_yellow
6,5,Tri,5771,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,5771_Tri_blue
6,9,Tri,5852,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,5852_Tri_orange
6,2,Tri,5865,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,5865_Tri_orange
5,27,Tri,5877,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,5877_Tri_orange
5,9,Tri,5904,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,5904_Tri_orange
7,32,Mai,6000,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,6000_Mai_pink
7,32,Mai,6027,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile,2,yellow_blue,yellow_blue,6027_Mai_yellow_blue
7,34,Mai,6100,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,6100_Mai_white
6,36,Mai,6462,PlantNW-SoilW-FungNW,NW,W,NW,2,green,green,6462_Mai_green
6,22,Mai,6463,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,1,green_blue,green_blue,6463_Mai_green_blue
